,会社名,URL,タイトル,経験,技術領域,形式,言語タグ,本文
112,ヤフー,https://about.yahoo.co.jp/hr/internship/1988,Yahoo! BEAUTY スクラムでプロダクト開発,,,体験,,"【概要】
Yahoo! BEAUTYは、昨年12月にリリースされた新しいサービスです。
実際のプロダクト開発チームに入っていただき、コーディング、テストなどのリアルな開発現場を体験できます。
本コースでは、参加いただける方のスキルにあわせFE / BFF / BE いずれかの開発を行っていただきます。

【内容】
・スクラムでのプロダクト開発
・スキルにあわせた FE / BFF / BE いずれかの開発
・ペアプログラミングを通したコーディング、テストの体験"
113,ヤフー,https://about.yahoo.co.jp/hr/internship/1989,Yahoo!ニュース 実際の開発環境で学ぶフロントエンド開発,,,体験,,"【概要】
本コースでは、Yahoo!ニュースのウェブサイトにおける改善案の企画、開発、提案に取り組んでいただきます。
実際の開発環境でYahoo!ニュースの魅力に触れることができます。

本コースの特長は下記のとおりです。
・実際にユーザーに提供されているウェブサイトの企画、開発、提案に携われる
・2人一組にてフロントエンド開発を行う
・Yahoo!ニュースの魅力に触れられるよう、開発担当社員との交流機会も用意

【内容（例）】
・Yahoo!ニュースにおける改善案の企画、開発、提案（内容は個々のスキル等に応じて決定します）
・プレゼンテーション、レビュー"
114,ヤフー,https://about.yahoo.co.jp/hr/internship/1990,Yahoo!ファイナンス スクラムやペアプロでサービス開発,,,体験,,"【概要】
金融領域での開発に携わっていただきます。
実際にリリースされる案件について、スクラムやペアプログラミングといった開発手法を用いながら、
仕様策定から設計、実装、テストといった一連のプロセスを現場の社員と一緒に学習、体験いただきます。

【内容（例）】
Yahoo!ファイナンスでのサービス開発"
115,ヤフー,https://about.yahoo.co.jp/hr/internship/1991,Yahoo!ショッピング ストア管理画面の改善案の企画＆開発＠福岡,,,体験,,"【概要】
ストア数・商品数、取扱高ともに年々成長しているYahoo!ショッピングの出店ストア用管理画面の改善案を検討し、実際に開発をしていただきます。
改善案の企画、デザイン検討、サービス開発といった一連の流れを体験できるとともに、大きなサービスを支える裏側の仕組みにも触れることができます。

また、本コースは天神オフィス所属の社員が担当するため、特に福岡県在住の方の参加を歓迎いたします！

【内容（例）】
・Yahoo!ショッピングの出店ストア用管理画面における改善案の検討、検証、開発
・社員への企画提案（プレゼンテーション）、レビュー
・プロダクトの発表（プレゼンテーション）、レビュー"
116,ヤフー,https://about.yahoo.co.jp/hr/internship/1992,ユーザー行動ログ アクセス解析ツールの開発,,,体験,,"【概要】
ヤフーでは、アプリやウェブサイト内でのユーザーの行動を集計、可視化する「アクセス解析ツール」を開発しています。このツールは社内で広く、サービスの改善や企画に使われています。
本コースでは、Data Visualization（データ可視化）の技術を活用したデザインや UI 開発、設計と実装、リリースといった一連のサイクルに携わっていただきます。

本コースの特長は下記のとおりです。
　・ヤフーが誇る大規模なサービスの実際のユーザー行動ログに触れながら、可視化ツールの開発を経験できる
　・実際のコードを利用し、普段の業務に近いかたちで設計、開発、リリースを経験できる
　・さまざまなサービスのアクセス解析ニーズに応えるシステムに触れることができる

【内容（例）】
・アクセス解析ツールのUI改善、開発
・アクセス解析ツールにおけるデータ可視化のデザイン改善、開発"
117,ヤフー,https://about.yahoo.co.jp/hr/internship/1993,全社データ BIツール推進とマルチビッグデータの分析,,,体験,,"【概要】
データ分析ツール「Tableau」の利活用推進と、ヤフーのさまざまなサービスから集まったマルチビッグデータを用いた分析業務を体験いただけます。

Tableauは全世界で5万社以上の企業が利用し、ヤフー社内でも月間3000人以上が利用するBI（Business Intelligence）ツールです。
ヤフーの各種サービスから集まるマルチビッグデータを可視化することにより、多くの社員の意思決定に活用されています。
本コースでは一連のTableauの推進業務とヤフーのマルチビッグデータを用いた分析課題に挑戦いただけます。

【内容（例）】
・Tableau推進業務
　Tableauの活用方法提案、Tableau環境の最適化を体験いただけます。

・マルチビッグデータを用いた分析課題
　ヤフーのサービスの実際のデータを用いた分析課題に取り組んでいいただきます。データの加工、可視化、提案の一連のステップを体験できます。

【公開資料】
・「ヤフー株式会社、Hadoopからのデータ読込時間が半日から数分へ～」
https://www.tableau.com/ja-jp/solutions/customer/yahoo-japan-optimizes-workforce-analyzing-big-data-minutes-tableau
・「ヤフーにおけるデータの可視化」
https://www.slideshare.net/techblogyahoo/yjbonfire-171472760"
118,ヤフー,https://about.yahoo.co.jp/hr/internship/1994,ユーザー行動データ Androidアプリ向けライブラリ開発,,,体験,"Java,Kotlin","【概要】
ヤフーのほぼすべてのAndroidアプリで利用されるアプリ向けライブラリの開発を行っていただきます。
開発対象は、ユーザー行動データを自社のデータプラットフォームに収集するためのライブラリです。
現在Javaで書かれているコードのKotlin化に挑戦していただく予定です。

本コースの特長は下記のとおりです。
・実際のコードを利用した、普段の業務に近いかたちでの開発を経験できる
・ヤフーが提供するさまざまなサービスからデータを抽出するためのライブラリづくりにおいて、どんなことを工夫しているかを学ぶことができる

【内容（例）】
Javaで書かれたアプリ向けライブラリのKotlin化"
119,ヤフー,https://about.yahoo.co.jp/hr/internship/1995,全社データ ビッグデータ処理システムの開発＆OSS貢献,,,体験,,"【概要】
ヤフー社内でビッグデータ処理システムとして活用している Apache NiFi の新機能を開発していただきます。
設計、実装、テスト（＋OSS貢献）といった一連の開発業務を体験できます。
※Apache NiFi とは、システム間のデータ連携をWeb UIで設計、管理して自動化できるプラットフォームのひとつで、OSS（オープンソースソフトウエア）として公開されています。Apache NiFi の committer がメンターを担当します。
参考：
・Apache NiFi
https://nifi.apache.org/
・「ヤフー社内のデータ連携を爆速で構築する方法　#ApacheNiFi」
https://techblog.yahoo.co.jp/entry/20191224797450/

【内容（例）】
・Apache NiFiの新規コンポーネントの開発（具体的なテーマは個々のスキル等に応じて決定します）
・Apache NiFiの機能改善、コミュニティJIRAのチケット対応
・Apache NiFiの機能検証、性能評価の実施と報告
※内容は状況に応じて変更となる可能性があります。"
120,ヤフー,https://about.yahoo.co.jp/hr/internship/1996,全社データ 社内ウェブアプリケーション「データカタログ」の新機能開発,,,体験,,"【概要】
ヤフーの社内で利用するウェブアプリケーション「データカタログ」の機能改修を体験していただきます。
新機能の企画、設計、開発、テスト、リリースまでのひととおりの流れを担当いただくなかで、
ウェブアプリケーション開発の現場を体験できます。

※「データカタログ」とは、ヤフーで蓄積されているデータの目録です。
どこにどんな定義のデータがあるか、利用方法はどうなっているか、などデータに関する情報を管理するプロダクトです。

【内容（例）】
下記のいずれかを予定しています。
・データカタログにおける新機能の企画、開発
・データカタログの機能改善"
121,ヤフー,https://about.yahoo.co.jp/hr/internship/1997,ユーザー行動データ iOSアプリ向けライブラリ開発,,iOS,体験,"Swift,C","【概要】
ヤフーのほぼすべてのiOSアプリで利用されるアプリ向けライブラリの開発を行っていただきます。
開発対象は、ユーザー行動データを自社のデータプラットフォームに収集するためのライブラリです。
現在Objective-Cで書かれているコードのSwift化に挑戦していただく予定です。

本コースの特長は下記のとおりです。
・実際のコードを利用した、普段の業務に近いかたちでの開発を経験できる
・ヤフーが提供するさまざまなサービスからデータを抽出するためのライブラリづくりにおいて、どんなことを工夫しているかを学ぶことができる


【内容（例）】
・Objective-Cで書かれたアプリ向けライブラリのSwift化"
