,会社名,URL,タイトル,経験,技術領域,形式,言語タグ,本文
0,株式会社クラスアクト,https://www.wantedly.com//projects/302161?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bhiring_types%5D%5B%5D=internship&filter_params%5Bkeywords%5D%5B%5D=%E6%9C%AA%E7%B5%8C%E9%A8%93&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=1&page=1,浅い人間関係はもう嫌だ。趣味のオタ活も語り合いたい！エンジニア志望を募集！,未経験可,インフラ,実務経験,,"なにをやっているのか
当社はITのネットワークを通じて社会を支える仕事をやっています！
ITのネットワークは、電気・ガス・水道に次ぐ、第四のインフラと呼ばれることもあります。
パソコンやスマートフォンが適切に動き、ネットワークに繋がるようにすることが我々の仕事です。
この仕事は、社会から常に必要とされる仕事であり、止めることができない、
非常に責任重大な仕事の１つです。
当社の事業はIT業界で、ネットワーク・基盤と呼ばれる領域です。
ネットワーク・基盤領域で同規模の会社では、一部の業務しか携われないというケースがありますが、当社ではすべての工程に携わることができます。
・どのようにネットワークを設計するのか
・実際にネットワークを構築する
・問題なく動くかテストする
・ネットワークのメンテナンス・保守・トラブル対応する
幅広い工程に携わり、ネットワークなどを問題なく動かすことが当社の仕事の特長です。
なぜやるのか
『ITの技術を通じて自分のなりたい姿を実現してほしい』
『長く会社（クラスアクト）に勤めてほしい』
こんな想いをもって２００５年に創業しました。
今でもそれを実現するべく、日々取り組んでいます。
『ITの技術を通じて自分のなりたい姿を実現してほしい』
ITの領域はこれからも成長していく市場です。
創業してから１４年間、特化してきたITの領域で技術を極めて、
なりたい自分をつかみとってほしいと考えています。
・徹底的に技術を追求する！
・ネットワークだけではなく、プログラムもマスターする！
・技術を極めつつ、プライベートも充実させる！など
『長く会社（クラスアクト）に勤めてほしい』
IT業界は一般的に離職率が高い、と言われている業界です。
せっかく今まで一緒に頑張ってきた人財が辞めてしまう
これほど悲しく、現場社員のやる気を損なうものはない、と常々思っていました。
この業界に入った時からずっと疑問に感じていることです。
当社では、定年まで働ける企業を目指しています。
そのためには、利益確保や事業拡大、ポジション作りなど色々な解決すべきテーマがあります。
そんな会社を作るために、日々取り組んでいます。
どうやっているのか
２００５年に創業し、大手クライアントや官公庁に対して仕事をしてきました。
同規模でこんな仕事ができる会社は多くありません。
なぜクラスアクトでは、実現できているのか？
それは、高い技術力を持ち、お客様から信頼を得続けているからです。今後も変えていくつもりはありません。
クラスアクトはプロフェッショナル人材を育て続ける会社であります。
そのために育成環境作りにも妥協しません。
［新人研修］
社内で経験豊富な講師が丁寧に教えてくれす。
ITの基礎からしっかりと学ぶことができます。
［実技研修］
現場で使う機器類を用いて研修します。
実践を交えつつ現場に近い環境で学ぶことができます。
［フィクションプロジェクト］
実際のプロジェクトをケーススタディとして学ぶことができます。
現場での業務に近い経験を積めます。
［オンライン研修］
IT業界では資格の取得が必須です。
オンラインでいつでも、どこでも学ぶことができる環境を作っています。
［外部研修］
若手社員～経営層まで受講できる幅広い研修を準備しています。
ビジネススキルやマネジメントスキルなどを外部会場に行き、学ぶことができます。
［人事評価制度］
エンジニアとして、何を頑張ればいいのか？を見える化しています。
同規模同業種でここまで細かく制度として整備している会社は多くありません。
これ以外にも資格取得支援制度や書籍購入費会社負担など、色々なことに取り組んでいます。
こんなことやります
仕事は仕事でしっかりこなしたい。
でも職場の人と仕事の話しかできないなんてつまんない。
末永く付き合える家族のような関係を職場の人とも築き上げたい。
趣味の話をできる人達を一緒に働けたらきっともっと楽しいのに……!!!
そんなこと感じたことありませんか？？
クラスアクトは仕事も趣味も大事にすることができる会社です。
ゲームやアニメ好きも多い職場なので、
趣味などの共通の話題があり仕事の話だけでなく
趣味の話もできる職場環境です。
またクラスアクトは、エンジニアとして１人前に育てる環境づくりを意識しているため、自分の成長に合わせて案件を調整できます。
エンジニア未経験の方のための仕事から、手ごたえのあるレベルの高い仕事まで様々なステップを準備しています。
・希薄な職場関係にうんざりした方
・未経験だけどエンジニアに興味がある方
・学び続けたい方
ぜひ一度オフィスに遊びに来て下さい！
カジュアルにお話しましょう！
＊株式会社クラスアクトの正社員としての採用となります。
会社の注目のストーリー
【第二弾】入社したばかりの社員に聞いた！クラスアクトに入社を決めた理由
採用 担当者
【第一弾】入社したばかりの社員に聞いた！クラスアクトに入社を決めた理由
採用 担当者
【面接を受ける方対象】当社の二次面接について
採用 担当者"
1,株式会社ビヨンドワークス,https://www.wantedly.com//projects/511297?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bhiring_types%5D%5B%5D=internship&filter_params%5Bkeywords%5D%5B%5D=%E6%9C%AA%E7%B5%8C%E9%A8%93&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=2&page=1,実機で学べる環境でインターネットを支えるインフラエンジニアになりませんか？,未経験可,インフラ,実務経験,,"なにをやっているのか
平均年齢も低くフレッシュな会社です。
クライエントの課題に向き合います。
ビヨンドワークスについて：
BeyondWorks（ビヨンドワークス）は、国内のデジタルトランスフォーメーションを促進するため、システム設計・構築、ITインフラに至るまで統合的なソリューションのご提供します。周囲の方の想像を越え、領域を越えた働きを提供し、技術と社会の発展に貢献します。
＜事業1: Web開発サービス＞
LAMP環境での開発、ECサイト、CMS、ソーシャルゲームなどのWebサービス開発、大規模トラフィックに対応したAWSサーバ構築など多様な開発経験を積んだフロントエンドエンジニア、バックエンドエンジニアが在籍しています。
＜事業2: ネットワークインテグレーション＞
ネットワーク／サーバーの設計・構築・運用・保守業務を主軸に大規模〜小規模まで様々なネットワーク・サーバーインフラのソリューションをご提供しています。
＜事業3: ヘルプデスク/テクニカルサポートのBPO＞
サポート業務・問い合わせ対応（社内ヘルプデスク・ユーザーサポートなど）をITスキルの高いスタッフで承っています。
なぜやるのか
「想像を越える、領域を越える働きを届ける。」を経営理念とし、産業のDX（デジタルトランスフォーメーション）を推進するパートナーとしてクライアント企業様に貢献していきます。
人口減少と少子高齢化、働き方改革、そしてコロナウィルス感染症（COVID-19）の出現を受け、世の中の前提が大きく変わっていく中で、全産業の急速なデジタルトランスフォーメーションの推進が大きなイシューとなっています。5Gを基本とするITインフラの整備によって、よりITが高速に、デジタル空間をリアルに感じられる社会にしていくことが重要と我々は考えています。
現在の主流である4Gから最新5Gに変わると、通信速度が約100倍になります。2時間の映画が数秒でダウンロードできる速さです。この技術を利用して、車の自動運転、VR（バーチャルリアリティ）、AIなど新技術の発展と普及が加速します。これらの次世代技術を支えるのがネットワークエンジニアです。
ビヨンドワークスは、ネットワークエンジニアの育成と輩出にフォーカスし、来たるデジタルネイティブ世代と共に次世代の基盤構築に尽力していきます。
どうやっているのか
資格取得支援制度あり
業務経験12年以上の講師が少人数制で研修
社員一人ひとりの戦力化、技術力向上のために、未経験者に対しても技術力を徹底的に伸ばして資格取得を目指すための研修環境があります。ベンチャー企業ですが、研修制度・研修体制には自信があります。
■研修環境
CCNA、CCNP資格を保有するインフラエンジニア歴10年以上の講師が手厚くメンタリングします。少人数制での研修実施となっており、一人前のレベルまで一気に研修で知識と技術を身に着けてもらいます。研修は大変ですが、その分成長の伸び率も高いです。
■研修内容
カリキュラムに沿って学習していく座学と、実際の機器を使っての実機演習とフェーズによって別れて研修をしていきます。CCNAというネットワークエンジニアにとっての必須資格を取得するところを研修の目標として学習していきます。
こんなことやります
ITエンジニアとしてのキャリアをスタートしたい方を募集中！充実した少人数制の研修で成長できる環境を用意しています。
研修後はネットワークやサーバの運用・保守といったサポート業務からスタート。運用業務では、随時機器の設定変更や構成変更を行ったり、立ち上げたネットワークに手を加えて運用をサポートします。保守業務では、ネットワークシステム発生したトラブルの原因をいち早く突き止め、必要に応じて機器の交換などを行って円滑なネットワークを維持していきます。
■参画プロジェクト例：
・大手通信キャリア ネットワーク／LAN・WAN設計・構築
・クラウドサービス案件の運用業務
・ネットワーク、サーバ、仮想化(VMware)の設計、構築、運用業務
■使用技術： ※プロジェクトによって異なります。
OS：Windows、Mac、Linux
統合管理：JP1、Log Storage、Data Spider、Secure Master
ネットワーク：Cisco、Catalyst、Nexus、Viptela、PaloAlto、FireEYE
ミドルウェア：Oracle、MySQL、PostgreSQL、SQL Server
■雇用形態
正規雇用となります。
文字だけでは伝わりにくい情報も多いと思います。
ぜひSkypeかGoogle Meetでお話しましょう！ エントリーを心からお待ちしています。
会社の注目のストーリー
はじめまして！フィード第1弾としてビヨンドワークスの日常をご紹介します。
BW 採用担当採用担当
レッスン15: レイヤ2 イーサネットの拡張
BW 採用担当採用担当
レッスン14: レイヤ2 イーサネット/IEEE802.3
BW 採用担当採用担当"
2,株式会社ナレッジコミュニケーション,https://www.wantedly.com//projects/287139?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bhiring_types%5D%5B%5D=internship&filter_params%5Bkeywords%5D%5B%5D=%E6%9C%AA%E7%B5%8C%E9%A8%93&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=3&page=1,千葉県在住者を歓迎！南行徳駅近くのオフィスでエンジニアを目指しませんか？,未経験可,,実務経験,,"なにをやっているのか
千葉県にあるオフィス。ここからAI、クラウド、VR等の最新技術を使った開発をしています。
作ったものは展示会でも社外向けにも発表。写真はMicrosoft Hololensを使ったサービスです。
私たちはAI、クラウド、VRなど、 これからのIT業界の中心となるような先進的な技術を使った事業を展開しています。
最新技術なんて難しそう、、と感じる方も多いと思います。ただ、新しい分野だからこそ、未経験からでも学んでいくことで、早く結果を出せると考えています。
実際に当社のメンバーの8割が20代。入社して1〜2年目からも活躍をしています。今回、未経験からAIエンジニア、クラウドエンジニアになりたい方を募集しています。（エンジニアとしての実務経験は一切不問です）
具体的な事業内容として、下記の３つに関わって頂く予定です。
ーーー
１）クラウドサービスを企業に導入するシゴト
お客様の課題に対してクラウドを使ってどのように解決していくか、それをメンバーと一緒に考えて提案しています。多種多様なクラウドのサービスを最適に利用するための設計や、運用時のサポート業務を行います。
２）機械学習の活用方法を提供するシゴト
ショッピングサイトなどで「あなたにオススメ」という言葉を見たことありませんか。 あれも機械学習の一つです。商品の閲覧データを分析して、こんな商品だったら興味があるのでは？と未来を予測しています。このような機械学習による未来予測の活用を、お客様に提供をしています。
３）AIやクラウドの情報発信するシゴト
AIやクラウドに関する技術的な検証内容、新しいサービスのメリットや機能などをブログとして配信することも行っています。クラウドはまだまだ新しい概念で知らない方もたくさんいます。そんな方にわかりやすく、良いところを伝えることも大事な業務として行っています。
ーーー
つまり、新しい技術にどんどん挑戦ができる環境があります。
わくわくして仕事ができる。
お客様のビジネスの在り方を変える。
世の中を変えるサービスを提供できる。
ナレッジコミュニケーションはそんな会社です。
なぜやるのか
価値観を大事にしており、壁にもコアバリューが書いてあります！
メンバー同士で議論をして進めることも！（写真は合宿の様子）
なぜ新しい分野や技術に挑戦し続けているのか？を知って頂くために、私たちの大事にしている考え方をお伝えします。
ーーー
▼MISSION
【破壊的イノベーションで世界の在り方を変える】
私達は創業時より最新のIT技術を使って、世の中をもっと便利にするサービスを中心に事業を展開しています。
今まさにロボットやAIがSFの世界ではなく、現実のサービスや手段として活用できる時代となっています。
技術はもちろんですが、技術を昇華し実際に利用する全ての人々の生活がより豊かになるように社会に貢献していきます。
▼VISION
【新たな価値を生み出す開拓者であり続ける】
私たちは既得利益に挑戦し、新たな価値を生み出す開拓者として、市場や社会に訴求していきます。そのために良いものをきちんと伝える情報発信や、コミュニケーションはもちろん大事です。
しかし、それ以上に大事だと思っているのは、挑戦者として「この市場を開拓して価値を生み出す」という気持ちです。
▼Core Value
・お客様の期待を超える最高のサービスを提供
・一人一人が会社を担う主力選手であること
・チームワークを超えた強い絆で最大の力を発揮
最大のパフォーマンスを出すための共通の価値観として、上記の３つを大事にしています。期待を超える最高のサービス提供をしていきます。
ーーー
ナレッジコミュニケーションは常に開拓者として、イノベーションを起こしていく存在であり続けます。ぜひあなた自身も、この機会に新しい分野に挑戦の一歩を踏み出して頂ければと思います！
どうやっているのか
目標達成時には報奨旅行があります。こちらは昨年度のハワイの写真です。
外部勉強会にも積極的に参加。こちらは当社社員が登壇したセミナーの様子。
未経験からスタートし、5年後には第一人者を目指せる環境。
AI/クラウド/VRなど、これから5年後の社会において軸となる技術に対して、先んじて挑戦をしていっています。まだ日本では前例の少ない技術の事例を次々と生み出すことに関わって頂けます。まだ事例の少ない領域で第一人者を目指すことも可能です！
ナレッジコミュニケーションでは未経験エンジニアであっても、100％自社開発のプロジェクトに関わって頂くことができます。他社への常駐業務はありません。そのため先輩メンバーと常に相談や質問ができる環境があります。
さらに仕事自体もやりがいあるプロジェクトが多いです。特に大手企業との直接取引が多いので、単調作業にならずにしっかりと自らのスキル向上をすることができます。成長企業で働くことで、チームメンバーと共に自分の成長を実感できます！
当社で3〜5年働いた後には、いまの自分には想像もしていなかった最新の技術力が身についていることは間違いありません。ぜひ新たなキャリアに進んでみませんか？
こんなことやります
AI、クラウドなど先進的な技術を使う事業会社で、未経験エンジニアを募集しています。千葉県にあるオフィスで、ゼロからAIエンジニア・クラウドエンジニアを目指しませんか？
当社ではエンジニアとしての実務経験が無い方でも全く問題ありません！現時点の技術力よりも「学ぶ姿勢」を重視しています。結局は技術力のベースも、コミュニケーションだと考えています。
自ら学んでいく方にとって「良い職場」になれます！
その理由をご説明します！
＝＝＝
5年後の軸となる技術への挑戦だから
＝＝＝
エンジニア職では、新しい技術の「専門家」になることを全員で目指しています。扱っているのはクラウド、AI、ロボットなど新しい技術が中心です。実際に私たちが作ったものが「日本で1番最初のサービス提供」となる事例もあります。社会的にも新しい分野だからこそ、未経験から専門家になれる可能性があるんです。
＝＝＝
100％自社開発だから
＝＝＝
入社後は、先輩社員とペアを組み、個人の興味に合わせて一緒に学んでいきます。毎週、社員向けの勉強会も開催しており、教育環境は充実しています。
＝＝＝
成長できるチャンスが多くあるから
＝＝＝
また入社1年目から数多くのプロジェクトに参画して頂けます。2〜3年目には顧客に対しての提案をする役目もお任せするので、「仕事を創り出す」エンジニアになれます。
＝＝＝
社内にロールモデルが存在するから
＝＝＝
・入社3年でリードエンジニアへ。
入社時、VBA, EXCELくらいのレベルだったメンバーも、機械学習の分野でみるみる成長し、今ではAI系の各案件をリードエンジニアへと成長しました。画像認識技術の活用について、テレビ局の取材も受けています！
・未経験からマネージャーへ。
全くの未経験からスタートしたメンバーも、2年目に大型顧客に対する機械学習検証プロジェクトを新規受注しメイン担当を務めました。3年目にはマネージャーへ昇格し、現在は、AIやMicrosoft HoloLensなどの新領域の事業開発の役割を担っています。
まったく未経験から最先端のエンジニアを目指せる環境は、そう多くありません。ぜひお気軽にエントリー頂き、オフィスでの面談からスタートできればと思っています。ご連絡をお待ちしております！
会社の注目のストーリー
2020年度　インターンシップを行いました
採用担当コーポレート・スタッフ
これがナレコムのリモートワーク！ AIプロジェクトをリモートで推進する秘訣
中西 貴哉エンジニア
Wantedly から運命の出会い！ 4月入社の新メンバー3人と先輩社員の対談会
採用担当コーポレート・スタッフ"
3,株式会社Knocknote,https://www.wantedly.com//projects/181170?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bhiring_types%5D%5B%5D=internship&filter_params%5Bkeywords%5D%5B%5D=%E6%9C%AA%E7%B5%8C%E9%A8%93&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=4&page=1,未経験でも大丈夫！挑戦が好きなエンジニアさん！まずは遊びに来てください,未経験可,,実務経験,,"なにをやっているのか
2020年を目標に事業拡大！プログラミング教育事業
自社プロダクトも製作中！OKRや1on1、勉強会等も積極的に行い、本質的な意味でいいチームを常に目指しています。
「夢で満ち溢れた明るい未来を」を経営理念に掲げている、ベンチャー企業です。主な事業内容は3つです。プログラミング教育事業、ICTソリューション事業、システム開発事業です。毎日ワクワクするようなことを、メンバーで楽しくやっています。
弊社は、独自のアイディアやカリキュラムが常に生まれる会社です。テレビ、雑誌などの各メディアの取材を受け、注目されております。
今メンバーで夢中になっていること　2019テーマ「実現」
・プログラミング教室の拡大
→いよいよプログラミング教育必修化。子供達の明るい未来のために、これからの時代に必要不可欠なスキル提供の拡大を実現！
・自社プロダクトのグロースハック
→教育事業×システム開発を主軸事業とする私たちだからできることを実現！
・従業員エンゲージメントの向上
→みんなが仕事を目標もって楽しめる「熱意ある社員100％」目指し、実現！
(日本は6％しかいません、調査対象132位/139ヶ国　涙)
なぜやるのか
未来を担う子供達といつも真剣に向き合ってます
成長する楽しさを教えます
まずプログラミング教育事業に関してです。2030年になると78.9万人IT人材が不足すると経済産業省が公表しているように、未来の日本には、よりIT人材が必要です。
さらに2045年にはAIが人間の知能を超えるシンギュラリティを迎えると言われています。
その頃、最前線で働いてるのは、今の幼稚園児や小学生です。
そんな子供たちの明るい未来のために、プログラミング教育が大切です。そして大人向けのプログラミング教室では「64時間で""なりたい""を叶える」というミッションを掲げ、今後IT業界でキャリアアップやキャリアチェンジしたい方のサポートをさせていただきます。
次にシステム開発業務についてです。ITの技術は日々進化しております。クライアントの要望を的確に捉え、もっとも良い方法で実装するためには常に探究心と向上心を持ち取り組み続けることが要求されます。
私たちは経営理念に恥じぬ努力をし、常に成長をしていきたいという思いがあります。
そんな自分の心に日々、ちゃんとできているか、思いっきり全力でやり尽くせているかと問いかけながら、自分の限界を超え続けるためにも、挑戦し続けます。
どうやっているのか
チャンスは最速で最大限に活かします！
チャレンジと失敗からそれぞれがたくさん成長しながら、3期目突入！しっかりと具体的な目標をたてて目に見える形で成長していきます
会社には、プログラマーとして活躍していた人間もいれば、未経験からスタートした人間など、様々なタイプがいます。
しかし、みんな共通して言えることは、自分の成長をやめないことです。
成長を楽しみ、成長を喜ぶ。
そんな仲間たちがいる職場です。
教室は、無理やり習わされる子がほとんどいません。
みんな、プログラミングを楽しく学んでいるので、生徒は皆、生き生きとしています！
そんな中で授業をするのは、正直、すごく楽しいです！
作り方に悩んでいる顔を笑顔に変える、そんな仕事だと思っています。
開発に関してはフロントエンド、サーバーサイド、UI/UXデザイン、動画撮影動画制作とおおきくわかれ、日々切磋琢磨し挑戦しています。
会社のメンバーは仕事も遊びも大好き！普段から適度なペースで飲みニケーション(死語？)を楽しみ、上下関係なく我慢しないことを言える環境を心がけています。お花見したり、メンバーの誕生日を祝ったり、ハロウィンパーティやフットサルなど楽しいことが盛りだくさん！もちろん参加は自由です。ストレスなく成長できる環境です！
こんなことやります
会社紹介はプログラミング教育事業がメインとなっておりますが、弊社は社長含めプログラマー出身者が集まる開発会社です！受託や自社コンテンツを最新の技術を追求しながら楽しく開発に取り組んでおります。
とにかくものづくり、コーディングが好きな方、経験をもっと積んで成長したい方大歓迎です。経験は問いません！とにかく楽しく仲間で目標を持って、いきいきと仕事をしたい方は絶対に弊社は向いてると思います！自由な環境だからこそメリハリを持って、遊ぶときは遊び尽くし、やるときは全力でやりきりましょう！事業拡大している今がチャンスです！
会社の注目のストーリー
会社紹介〜お陰様で2期目突入〜
鈴木 道生代表取締役
働くということ〜労働と仕事の違い〜
鈴木 道生代表取締役
- INTERVIEW -「自己成長」と「価値提供」と「ベンチャーマインド」と。
鈴木 道生代表取締役"
4,株式会社VITA,https://www.wantedly.com//projects/463300?filter_params%5Bauthorized%5D=true&filter_params%5Bcategory%5D=normal&filter_params%5Bcountry%5D=japan&filter_params%5Bhiring_types%5D%5B%5D=internship&filter_params%5Bkeywords%5D%5B%5D=%E6%9C%AA%E7%B5%8C%E9%A8%93&filter_params%5Boccupation_types%5D%5B%5D=jp__engineering&filter_type=mixed&list=5&page=1,激動の時代を勝ち抜くために！市場価値の高いエンジニアになりませんか？,未経験可,,実務経験,,"なにをやっているのか
私たちVITAはIT業界の中でも『ミドルウェア領域』に特化したエンジニア集団です。
ミドルウェアというのはシステムの要ともいえる部分です。
いつも何気なく使っているアプリケーションやシステムの多くにミドルウェアが組み込まれています。
その中でもVITAが得意とするのが
①膨大なデータの中から必要なものをすぐに取り出すための技術
②絶対に停止してはいけないシステムを監視し正常稼働させ続けるための技術
です。
①膨大なデータの中から必要なものをすぐに取り出すための技術
例えば、みなさんがいつも使っているスマートフォン、写真のデータが増えるにつれて「見たい写真が見つからない」といった経験はありませんか？数百、数千枚の中から必要な写真を取り出すのに一苦労したことがある方も多いと思います。これがもっと膨大なデータ量になるとさらに探すのが大変になります。
実際に、どこで「膨大なデータから特定のデータを探す」技術が使われているのかというと、ECサイトはその代表的な例です。たくさんのユーザーの名前や住所、購入履歴などのデータを保管・整理し、ワンクリックで瞬時に適切な情報を画面に表示してくれます。
②絶対に停止してはいけないシステムを監視し正常稼働させ続けるための技術です
例えば、銀行のATMや決済システム、医療系や航空系のシステムは24時間365日正常稼働が求められます。そのシステムを人に替わって、監視し、異常があった場合に人に知らせたり、瞬時に別のサーバーに接続して、正常稼働を継続させ続けたりしています。
つまり、システムにとって「ミドルウェア」はなくてはならない存在です。
そしてそんな「ミドルウェア」の設計・構築・運用・保守を通して、お客様に技術支援をする。
これがVITAの役割です。
システムに必要不可欠なミドルウェアではありますが、ここに特化した会社は都内でも10社ほどしかなく、市場価値の高い分野です。
私たちVITAはあえてミドルウェアというニッチな領域に特化することで、市場価値の高いエンジニアを社会に送り出しています。
その結果、「お客様にとって」、そして「日本のIT業界にとって」なくてはならない存在になろうと日々努力を続けています。
また、20期（2028年）までの新しいチャレンジとして
① 受託開発事業
② データ分析サービス
③ IT教育事業
などの新規事業に取り組んでいきます。
なぜやるのか
経営陣もエンジニア出身、役員2名は現役SEとして活躍中！
仕事も人生も「活き活きを連鎖」が会社理念の1つです
VITAの経営理念は「活き活きと働き、活き活きを連鎖させる」です。
ITと聞くとすごくデジタルなイメージをもたれる方も多いかもしれません。
しかし実際は、一つのITシステムをつくるためのプロジェクトに何千、何百人という人が関与することが多いです。
初めて一緒に仕事をする人と一つのシステムを作り上げるという同じ目標に向かって進まなければならない。ここでは必ず、人間関係や信頼関係を築きながら仕事を進めることが必要です。
またそういったプロジェクトの中に、活き活きと働き、活き活きを連鎖させられるようなメンバーが一人でもいたら、プロジェクトが活性化し、より良い結果を残せると考えています。
だからこそ、VITAでは「活き活きと働き、活き活きを連鎖させる」という経営理念を掲げ、
社員みんなでそういう存在になれるよう努力をしています！
どうやっているのか
社内Mtgの様子
社内イベント・懇親会の様子
☆「急がば回れ」、未経験でもじっくり育てます！
「急がば回れ」とは、現場で活躍するエンジニアになるために、じっくり基礎知識をつけ、応用できるようになってから現場に出てほしいという当社の思いです。
そういった思いから、当社の研修では学習のみを行い、OJT開始と同時に現場で実践的な経験が積めるようにしています。
4~5月　ITに関する基礎研修
6月　実務研修
6~9月　現場デビュー（OJT）
10月　SEとしてデビュー
＼ちなみに、VITAで働くエンジニアのうち、８割が未経験で入社したメンバーです／
☆バディ制度
新卒入社の社員には、OJTの先輩以外に、なんでも相談に乗ってくれる先輩がみなさんにつきます。
技術面だけでなく、みなさんが抱えている悩みや不安など、なんでも相談してください！
☆委員会制度
VITAはトップダウンで会社を経営しているわけではありません。
社員一人一人が主体的に「活き活きと働き」会社やお客様の発展のために活動しています。
その一環が委員会活動です。複数の委員会の中から好きな委員会に所属し、
会社の運営やイベントの主催など色々なことに関わることができます。
（複数の委員会に所属しているメンバーもいます！）
・社内規定委員会
・イベント委員会
・教育委員会
・セキュリティ委員会
・社内システム委員会
・採用委員会
・トレンド通信委員会
・環境委員会
・サイト管理委員会
委員会の詳細は説明会や面談でお気軽にお尋ねください！
こんなことやります
「充実した大学生活もあと1年で終わりか、、、」
「平凡な社会人生活なんておくりたくない」
「社会人になっても活き活きとした人生を過ごしたい！」
そんな思いを抱いてwantedlyを眺めているそこのあなた！
メンバー全員が「活き活き働いている」会社でみなさんのキャリアをスタートしませんか？
VITAは、
「活き活きと働き」×「活き活きを連鎖させる」
を大事にしているエンジニア集団です。
私たちは現在、「活き活きと働きたい！」という思いをもって働くことができる仲間を募集しています。
学歴・経歴・ITスキルは問いません！
とにかく「活き活き」と密度の濃い社会人生活を送りたい！
そんな思いをもった方にお会いできるのを楽しみにしています！
☆こんな方とお会いしたいです！
・密度の濃い社会人生活を送りたいと思っている人
・IT業界に興味のある人
・新しいことに挑戦したい人
・変化の激しい業界で働きたい人
少しでも興味を持っていただけた方は。
「話を聞きに行きたい」をタップしてください！
社員一同みなさんとお会いできるのを楽しみにしています！
会社の注目のストーリー
【Wantedly】ついに始めました！
VITA 人事その他エンジニア"
